month,Gold,SP500,BCA,Telkom,Bitcoin
2021-01,6180.17,175.02,352.06,2632.74,34967.17
2021-02,6032.32,169.34,360.72,2521.3,45773.02
2021-03,5860.41,161.25,363.8,2617.41,54630.98
2021-04,5571.04,164.94,385.65,2548.82,57357.22
2021-05,5723.84,173.34,388.51,2481.85,46754.81
2021-06,5684.4,171.56,395.59,2684.07,35960.9
2021-07,5405.28,169.06,407.7,2547.55,34368.21
2021-08,5724.24,167.11,416.53,2706.0,45388.53
2021-09,5872.68,166.04,416.25,2802.5,45292.05
2021-10,6583.9,166.13,418.06,3049.75,58173.42
2021-11,6684.16,170.08,437.83,3042.43,60766.09
2021-12,6594.51,167.45,439.14,3320.28,49250.53
2022-01,6882.68,169.61,430.02,3401.19,40998.24
2022-02,7053.65,173.46,417.47,3494.21,41086.21
2022-03,7139.18,182.14,413.9,3649.91,42244.32
2022-04,7172.66,180.55,414.3,3741.27,41419.07
2022-05,6939.57,172.38,381.67,3503.8,31605.21
2022-06,6797.48,171.26,368.92,3430.42,24473.69
2022-07,6580.44,161.46,370.62,3460.2,21622.81
2022-08,7217.52,164.25,394.52,3811.48,22439.78
2022-09,7672.79,156.4,365.92,3763.7,19703.63
2022-10,7718.35,155.14,354.57,3659.5,19684.86
2022-11,8057.84,160.86,373.23,3441.94,17626.0
2022-12,7897.22,167.23,373.32,3147.72,16974.1
2023-01,7625.98,176.93,378.37,3237.21,20254.1
2023-02,8000.87,172.45,390.24,3229.33,23265.57
2023-03,7834.35,178.02,380.34,3366.44,25241.09
2023-04,8380.53,185.99,395.43,3573.49,28965.8
2023-05,8361.5,185.17,398.28,3423.81,27491.86
2023-06,8494.22,180.22,418.08,3472.81,27913.5
2023-07,8520.1,181.07,434.12,3398.34,30014.79
2023-08,8638.85,178.03,429.74,3279.45,27924.77
2023-09,8454.79,177.43,425.73,3268.61,26344.94
2023-10,8343.48,177.75,412.58,3228.78,29817.42
2023-11,8319.85,184.04,431.58,3147.49,36524.91
2023-12,8502.51,188.54,454.03,3433.72,42679.88
2024-01,8969.97,188.07,465.99,3468.65,43042.42
2024-02,9186.46,187.63,486.58,3526.33,50293.5
2024-03,9479.54,200.26,502.71,3355.97,68009.29
2024-04,9322.96,216.07,497.47,2872.19,66009.05
2024-05,9091.93,217.46,510.01,2709.93,65122.43
2024-06,9042.31,215.17,528.2,2721.93,65988.54
2024-07,9668.41,221.54,540.64,2868.6,62927.42
2024-08,9828.61,228.4,535.29,2697.11,59711.34
2024-09,10092.22,237.88,549.98,2865.32,60379.09
2024-10,10091.34,248.62,567.22,2733.81,65636.24
2024-11,9724.14,244.77,581.19,2501.94,86677.04
2024-12,9609.1,243.51,589.83,2519.64,98132.74
2025-01,9241.43,250.43,587.28,2472.28,100617.84
2025-02,8675.27,267.12,593.69,2357.48,94443.79
2025-03,8378.32,275.39,559.45,2225.21,85170.37
2025-04,8400.42,296.96,529.07,2296.28,86649.99
2025-05,9193.98,302.89,573.01,2505.96,103496.54
2025-06,8830.38,308.88,595.42,2680.11,106151.48
2025-07,8450.95,307.73,622.31,2769.09,115526.12
2025-08,8413.43,310.23,633.92,3166.67,115071.88
2025-09,7766.52,338.59,652.01,3155.71,113350.37
2025-10,7773.61,373.23,667.56,3117.83,114032.73
2025-11,8441.56,375.6,668.61,3553.16,96144.08
2025-12,8139.99,396.41,680.48,3536.67,89105.84
